NIR;FWI;DataAlerta;NIRAnt;AAAnt;FWIAnt
19;5.625823918;14-05-2002;14;13.099;5.902098663
48;7.750717781;15-05-2002;19;44.5361;5.625823918
49;11.81005121;16-05-2002;48;37.9461;7.750717781
3;11.9270538;17-05-2002;49;16.0162;11.81005121
19;7.127175446;18-05-2002;3;3.1;11.9270538
50;7.608558787;19-05-2002;19;16.223;7.127175446
29;12.18817518;20-05-2002;50;13.5332;7.608558787
14;20.92978664;21-05-2002;29;17.9644;12.18817518
6;15.50406393;22-05-2002;14;8.3951;20.92978664
12;13.32626212;23-05-2002;6;1.2225;15.50406393
6;13.3592444;24-05-2002;12;17.1027;13.32626212
39;13.44701793;25-05-2002;6;18.156;13.3592444
33;15.18640082;26-05-2002;39;22.2035;13.44701793
26;14.41405221;27-05-2002;33;10.1891;15.18640082
34;16.14572711;28-05-2002;26;28.2561;14.41405221
43;13.09483364;29-05-2002;34;19.8445;16.14572711
54;11.75874541;30-05-2002;43;17.8253;13.09483364
58;11.08244935;31-05-2002;54;33.1482;11.75874541
51;9.475418388;01-06-2002;58;22.4961;11.08244935
53;11.25593295;02-06-2002;51;23.7203;9.475418388
28;11.41763866;03-06-2002;53;45.6645;11.25593295
6;8.506895943;04-06-2002;28;58.229;11.41763866
13;9.923899364;05-06-2002;6;1.116;8.506895943
8;15.39871557;06-06-2002;13;2.7141;9.923899364
5;12.75752288;07-06-2002;8;3.652;15.39871557
23;19.07435399;08-06-2002;5;1.0082;12.75752288
25;14.26247152;09-06-2002;23;11.645;19.07435399
66;17.55291558;10-06-2002;25;46.2213;14.26247152
62;18.49883936;11-06-2002;66;58.183;17.55291558
74;16.06593581;12-06-2002;62;149.8509;18.49883936
95;13.9916469;13-06-2002;74;43.356;16.06593581
66;14.88684307;14-06-2002;95;104.65;13.9916469
83;15.65804297;15-06-2002;66;311.1521;14.88684307
135;16.9679825;16-06-2002;83;464.8575;15.65804297
104;19.43988106;17-06-2002;135;269.9661;16.9679825
87;18.79554205;18-06-2002;104;777.0436;19.43988106
91;22.86530851;19-06-2002;87;49.815;18.79554205
100;13.27177091;20-06-2002;91;150.8317;22.86530851
114;20.05880619;21-06-2002;100;74.9577;13.27177091
135;20.73910379;22-06-2002;114;864.1584;20.05880619
204;17.41941911;23-06-2002;135;190.9354;20.73910379
327;18.56094252;24-06-2002;204;487.9591;17.41941911
271;17.72006486;25-06-2002;327;586.0211;18.56094252
68;14.38525571;26-06-2002;271;494.492;17.72006486
47;6.007236454;27-06-2002;68;192.0956;14.38525571
81;9.342186355;28-06-2002;47;70.1085;6.007236454
134;10.7113323;29-06-2002;81;45.812;9.342186355
235;21.12856981;30-06-2002;134;198.5007;10.7113323
227;18.66097848;01-07-2002;235;707.3901;21.12856981
209;19.4109992;02-07-2002;227;1199.0586;18.66097848
150;18.89453929;03-07-2002;209;199.8989;19.4109992
175;18.58051332;04-07-2002;150;380.7547;18.89453929
206;22.48716709;05-07-2002;175;324.234;18.58051332
215;18.18023859;06-07-2002;206;704.8448;22.48716709
265;16.3885916;07-07-2002;215;472.3021;18.18023859
121;20.6993575;08-07-2002;265;345.2854;16.3885916
28;13.67435245;09-07-2002;121;81.3669;20.6993575
36;13.49975111;10-07-2002;28;14.7376;13.67435245
99;23.3709624;11-07-2002;36;28.0641;13.49975111
76;27.43090331;12-07-2002;99;1034.7587;23.3709624
148;31.53079666;13-07-2002;76;298.6764;27.43090331
265;29.96726163;14-07-2002;148;6771.0025;31.53079666
330;31.45246683;15-07-2002;265;4672.9023;29.96726163
378;31.88001731;16-07-2002;330;2952.2541;31.45246683
563;33.24592478;17-07-2002;378;2621.2434;31.88001731
458;28.68775749;18-07-2002;563;4187.8319;33.24592478
307;27.33886859;19-07-2002;458;5800.3108;28.68775749
247;18.15284023;20-07-2002;307;1075.6001;27.33886859
297;19.9578417;21-07-2002;247;380.0692;18.15284023
128;8.420230522;22-07-2002;297;2012.8706;19.9578417
175;9.923875732;23-07-2002;128;43.1587;8.420230522
289;14.50053122;24-07-2002;175;358.8416;9.923875732
403;19.51320477;25-07-2002;289;5303.3519;14.50053122
349;21.04395541;26-07-2002;403;1768.4804;19.51320477
343;23.22682629;27-07-2002;349;2461.8774;21.04395541
438;20.3522032;28-07-2002;343;2595.887;23.22682629
